No,Benchmark,InputData,ID,Kernel,DRAM Frequency,SM Frequency,Elapsed Cycles,Memory [%],SOL DRAM,Duration,SOL L1/TEX Cache,SOL L2 Cache,SM Active Cycles,SM [%],Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Driver Shared Memory Per Block,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Theoretical Active Warps per SM,Theoretical Occupancy,Achieved Occupancy,Achieved Active Warps Per SM
39,lud,1024,38,lud_internal,815904139.43,1200662672.48,17682,55.96,22.66,14688,73.92,26.71,13349.49,42.53,256,2500,30,16384,0,0,2048,640000,3.91,32,8,48,8,64,100.0,79.94,51.16
40,lud,1024,39,lud_diagonal,805084745.76,1204393979.52,18192,0.1,0.01,15104,9.4,0.05,187.69,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
41,lud,1024,40,lud_perimeter,455030487.8,681116615.85,7156,2.89,2.08,10496,8.48,1.85,2432.81,2.37,32,49,81,65536,0,0,3072,1568,0.03,32,20,32,64,20,31.25,1.56,1.0
42,lud,1024,41,lud_internal,815366972.48,1197606077.98,16761,56.77,22.81,13952,75.52,27.7,12561.71,43.11,256,2401,30,16384,0,0,2048,614656,3.75,32,8,48,8,64,100.0,79.2,50.69
43,lud,1024,42,lud_diagonal,799363057.32,1197297416.84,18047,0.1,0.01,15072,9.3,0.05,189.7,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
44,lud,1024,43,lud_perimeter,465000000.0,694983974.36,7233,2.81,2.01,10400,8.82,1.81,2300.6,2.3,32,48,81,65536,0,0,3072,1536,0.03,32,20,32,64,20,31.25,1.56,1.0
45,lud,1024,44,lud_internal,793503480.28,1163597254.45,16088,56.78,22.52,13792,75.2,27.06,12116.95,43.07,256,2304,30,16384,0,0,2048,589824,3.6,32,8,48,8,64,100.0,78.95,50.53
46,lud,1024,45,lud_diagonal,802771855.01,1201359275.05,18031,0.1,0.01,15008,9.28,0.05,190.1,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
47,lud,1024,46,lud_perimeter,446912650.6,668188378.51,7103,2.79,2.0,10624,8.95,1.78,2211.69,2.29,32,47,81,65536,0,0,3072,1504,0.03,32,20,32,64,20,31.25,1.56,1.0
48,lud,1024,47,lud_internal,863750000.0,1270625000.0,16310,53.85,21.38,12800,75.45,26.42,11606.6,40.75,256,2209,30,16384,0,0,2048,565504,3.45,32,8,48,8,64,100.0,78.43,50.2
