No,InputData,Kernel,Data,DataID,DRAMFrequency,SMFrequency,ElapsedCycles,MemoryPercentage,SOLDRAM,Duration,SOLL1/TEXCache,SOLL2Cache,SMActiveCycles,SMPercentage,BlockSize,GridSize,RegistersPerThread,SharedMemoryConfigurationSize,DriverSharedMemoryPerBlock,DynamicSharedMemoryPerBlock,StaticSharedMemoryPerBlock,Threads,WavesPerSM,BlockLimitSM,BlockLimitRegisters,BlockLimitSharedMem,BlockLimitWarps,TheoreticalActiveWarpsperSM,TheoreticalOccupancy,AchievedOccupancy,AchievedActiveWarpsPerSM,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap,label
32,2560,needle_cuda_shared_1,input_itemsets,1,624391622.5608999,933562547.5028,10626.54,4.4578999999999995,2.1112,11378.88,10.822399999999995,1.1852,4381.7269,1.5329000000000008,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.6016000000000008,1.0263,11,0x200061a00000,0x200063305004,26234884,77,317,25664.0,0.0,0.0,0
33,2816,needle_cuda_shared_1,referrence,0,627273511.4312003,937878946.3836,10689.95,4.409600000000001,2.0978,11394.24,10.683600000000002,1.1643000000000006,4418.245599999998,1.5230000000000001,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.6014000000000008,1.0262,11,0x200060000000,0x200061e45804,31741956,93,509,31040.0,0.0,0.0,0
34,2816,needle_cuda_shared_1,input_itemsets,1,627273511.4312003,937878946.3836,10689.95,4.409600000000001,2.0978,11394.24,10.683600000000002,1.1643000000000006,4418.245599999998,1.5230000000000001,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.6014000000000008,1.0262,11,0x200062000000,0x200063e45804,31741956,93,357,31040.0,0.0,0.0,0
35,3072,needle_cuda_shared_1,referrence,0,624414536.7130997,933386951.8548002,10598.81,4.4617,2.1169,11351.68,10.8211,1.1911,4375.177799999999,1.5376999999999996,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.6014000000000008,1.0263,11,0x200060000000,0x200062406004,37773316,109,468,36928.0,0.0,0.0,0
36,3072,needle_cuda_shared_1,input_itemsets,1,624414536.7130997,933386951.8548002,10598.81,4.4617,2.1169,11351.68,10.8211,1.1911,4375.177799999999,1.5376999999999996,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.6014000000000008,1.0263,11,0x200062600000,0x200064a06004,37773316,109,338,36928.0,0.0,0.0,0
37,3328,needle_cuda_shared_1,referrence,0,627794684.7859,938566325.2312998,10703.0,4.404099999999998,2.0946999999999996,11399.68,10.6856,1.1641,4430.404499999999,1.5203999999999995,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.601800000000001,1.0263,11,0x200060000000,0x200062a46804,44328964,129,581,43328.0,0.0,0.0,0
38,3328,needle_cuda_shared_1,input_itemsets,1,627794684.7859,938566325.2312998,10703.0,4.404099999999998,2.0946999999999996,11399.68,10.6856,1.1641,4430.404499999999,1.5203999999999995,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.601800000000001,1.0263,11,0x200062c00000,0x200065646804,44328964,129,408,43328.0,0.0,0.0,0
39,3584,needle_cuda_shared_1,referrence,0,624107276.1728,933018037.1715,10662.62,4.4237,2.1038,11424.0,10.732900000000004,1.1799000000000002,4399.067900000001,1.5281999999999996,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.6016000000000008,1.0264,11,0x200060000000,0x200063107004,51408900,149,619,50240.0,0.0,0.0,0
40,3584,needle_cuda_shared_1,input_itemsets,1,624107276.1728,933018037.1715,10662.62,4.4237,2.1038,11424.0,10.732900000000004,1.1799000000000002,4399.067900000001,1.5281999999999996,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.6016000000000008,1.0264,11,0x200063200000,0x200066307004,51408900,149,424,50240.0,0.0,0.0,0
41,3840,needle_cuda_shared_1,referrence,0,628447807.3016,939541269.2237,10704.56,4.420499999999999,2.0948,11389.44,10.790100000000002,1.1690999999999998,4394.191900000002,1.5210000000000006,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.6017000000000008,1.0264,11,0x200060000000,0x200063847804,59013124,171,649,57664.0,0.0,0.0,0
42,3840,needle_cuda_shared_1,input_itemsets,1,628447807.3016,939541269.2237,10704.56,4.420499999999999,2.0948,11389.44,10.790100000000002,1.1690999999999998,4394.191900000002,1.5210000000000006,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.6017000000000008,1.0264,11,0x200063a00000,0x200067247804,59013124,171,444,57664.0,0.0,0.0,0
43,4096,needle_cuda_shared_1,referrence,0,616706339.5906997,921908569.9677002,10477.05,4.518699999999999,2.15,11360.96,10.9146,1.2153999999999996,4301.125100000001,1.5622,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.6010000000000009,1.026,11,0x200060000000,0x200064008004,67141636,193,224,65600.0,0.0,0.0,0
44,4096,needle_cuda_shared_1,input_itemsets,1,616706339.5906997,921908569.9677002,10477.05,4.518699999999999,2.15,11360.96,10.9146,1.2153999999999996,4301.125100000001,1.5622,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.6010000000000009,1.026,11,0x200064200000,0x200068208004,67141636,193,224,65600.0,0.0,0.0,0
45,4352,needle_cuda_shared_1,referrence,0,630146828.8110996,941453215.2477,10742.09,4.4030000000000005,2.0877999999999997,11400.96,10.724199999999996,1.1609999999999996,4415.93,1.5177000000000005,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.602000000000001,1.0265,11,0x200060000000,0x200064848804,75794436,219,750,74048.0,0.0,0.0,0
46,4352,needle_cuda_shared_1,input_itemsets,1,630146828.8110996,941453215.2477,10742.09,4.4030000000000005,2.0877999999999997,11400.96,10.724199999999996,1.1609999999999996,4415.93,1.5177000000000005,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.602000000000001,1.0265,11,0x200064a00000,0x200069248804,75794436,219,501,74048.0,0.0,0.0,0
47,4608,needle_cuda_shared_1,referrence,0,628395423.7357002,938898763.3834,10711.54,4.4067,2.0914000000000006,11398.72,10.686799999999998,1.1830000000000005,4428.242800000001,1.5205999999999995,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.601800000000001,1.0264,11,0x200060000000,0x200065109004,84971524,245,766,83008.0,0.0,0.0,0
48,4608,needle_cuda_shared_1,input_itemsets,1,628395423.7357002,938898763.3834,10711.54,4.4067,2.0914000000000006,11398.72,10.686799999999998,1.1830000000000005,4428.242800000001,1.5205999999999995,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.601800000000001,1.0264,11,0x200065200000,0x20006a309004,84971524,245,510,83008.0,0.0,0.0,0
49,4864,needle_cuda_shared_1,referrence,0,628059531.4718,938607093.1142,10733.68,4.392500000000001,2.0864000000000007,11427.2,10.683800000000002,1.1526999999999996,4424.6836,1.5167999999999997,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.6015000000000008,1.0264,11,0x200060000000,0x200065a49804,94672900,273,800,92480.0,0.0,0.0,0
50,4864,needle_cuda_shared_1,input_itemsets,1,628059531.4718,938607093.1142,10733.68,4.392500000000001,2.0864000000000007,11427.2,10.683800000000002,1.1526999999999996,4424.6836,1.5167999999999997,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.6015000000000008,1.0264,11,0x200065c00000,0x20006b649804,94672900,273,542,92480.0,0.0,0.0,0
51,5120,needle_cuda_shared_1,referrence,0,626732769.8092997,936422734.8672998,10687.81,4.433,2.0983000000000005,11403.84,10.733400000000003,1.1699,4418.8531,1.5261000000000005,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.6015000000000008,1.0262,11,0x200060000000,0x20006640a004,104898564,301,789,102464.0,0.0,0.0,0
52,5120,needle_cuda_shared_1,input_itemsets,1,626732769.8092997,936422734.8672998,10687.81,4.433,2.0983000000000005,11403.84,10.733400000000003,1.1699,4418.8531,1.5261000000000005,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.6015000000000008,1.0262,11,0x200066600000,0x20006ca0a004,104898564,301,536,102464.0,0.0,0.0,0
53,5376,needle_cuda_shared_1,referrence,0,633449957.8265,946689919.3270996,10807.22,4.3627,2.069599999999999,11406.4,10.6031,1.1577000000000004,4471.777,1.5045000000000002,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.6019000000000008,1.0265,11,0x200060000000,0x200066e4a804,115648516,333,851,112960.0,0.0,0.0,0
54,5376,needle_cuda_shared_1,input_itemsets,1,633449957.8265,946689919.3270996,10807.22,4.3627,2.069599999999999,11406.4,10.6031,1.1577000000000004,4471.777,1.5045000000000002,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.6019000000000008,1.0265,11,0x200067000000,0x20006de4a804,115648516,333,569,112960.0,0.0,0.0,0
55,5632,needle_cuda_shared_1,referrence,0,628042803.5837,938327253.4886998,10700.36,4.4078,2.0944,11394.56,10.689799999999996,1.1562999999999992,4419.836700000002,1.5232999999999997,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.601800000000001,1.0265,11,0x200060000000,0x20006790b004,126922756,365,865,123968.0,0.0,0.0,0
56,5632,needle_cuda_shared_1,input_itemsets,1,628042803.5837,938327253.4886998,10700.36,4.4078,2.0944,11394.56,10.689799999999996,1.1562999999999992,4419.836700000002,1.5232999999999997,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.601800000000001,1.0265,11,0x200067a00000,0x20006f30b004,126922756,365,590,123968.0,0.0,0.0,0
57,5888,needle_cuda_shared_1,referrence,0,631594091.3983,943653971.4025004,10760.73,4.3845,2.0826999999999996,11394.24,10.6572,1.162,4438.8378,1.5137999999999996,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.6017000000000008,1.0264000000000002,11,0x200060000000,0x20006844b804,138721284,399,891,135488.0,0.0,0.0,0
58,5888,needle_cuda_shared_1,input_itemsets,1,631594091.3983,943653971.4025004,10760.73,4.3845,2.0826999999999996,11394.24,10.6572,1.162,4438.8378,1.5137999999999996,16.0,50.5,32.0,98304.0,0.0,0.0,2180.0,808.0,0.019800000000000016,32.0,64.0,42.0,64.0,32.0,50.0,1.6017000000000008,1.0264000000000002,11,0x200068600000,0x200070a4b804,138721284,399,605,135488.0,0.0,0.0,0
